name,emb,gid,t,z,y,x,z_um,snr,intensity_rel,near_um,near_pid,near_dxy_um,near_dz_um,near_claimed_by,near_claimed_um,near_logit,second_um,second_claimed,other_gt_um,other_gt_gid,other_gt_detected,n_pred_10,t_frac,parent_detected,child_detected,run_len,has_parent,n_children,to_div,since_div,p_at,p_max1,peak_in1,p_max2,peak_in2,argmax_off_grid,p_max3,peak_in3,nearest_peak_um_grid,artefact,merged,bright,dim,run_cls,mech
44b6_1574802b,44b6,143000000021,4,63,101,254,102.375,10.383604049682617,0.7225824594497681,6.790121765314298,1206,6.5763251444549145,-1.6904736561700702,,,5.468808174133301,9.556867611819996,False,,,,2,0.04040404040404041,,False,2,False,1,,,0.9946209192276001,0.9985902905464172,False,0.9985902905464172,False,"[-1, 0, -1]",0.9988572597503662,False,6.700046641628698,True,False,True,False,2 frames,"D5 local-metric truncation artefact (detection 5.6-7 um away, mostly in z)"
44b6_1574802b,44b6,144000000021,5,63,102,248,102.375,10.588132858276367,0.7176773548126221,7.2310649373115,1441,7.09519789099877,-1.3951584193855524,,,6.091283798217773,9.096077843008482,False,,,,2,0.050505050505050504,False,True,2,True,1,,,0.9955980181694031,0.998553454875946,False,0.998586893081665,False,"[-2, 1, -1]",0.9990083575248718,False,6.700046641628698,False,False,True,False,2 frames,D3 field above threshold but no peak kept (ridge into a neighbour)
44b6_1574802b,44b6,161000000020,22,63,99,251,102.375,10.354656219482422,0.6129507422447205,7.750602092366077,5407,4.089398761718715,-6.5839692102745175,,,8.981880187988281,11.960294992849226,False,23.25581664471278,161000000021.0,True,1,0.2222222222222222,True,True,1,True,1,,,0.9924548864364624,0.999711811542511,False,0.9998468160629272,False,"[-2, 1, -1]",0.9998581409454346,False,7.960841664045329,False,False,True,False,1 frame,D3 field above threshold but no peak kept (ridge into a neighbour)
44b6_1574802b,44b6,163000000020,24,63,98,250,102.375,9.7869291305542,0.5616538524627686,8.812263001468882,5823,5.238491398201661,-7.086196940392256,,,11.789074897766113,12.551743740686403,False,27.699577642312526,163000000021.0,True,1,0.24242424242424243,True,False,2,True,1,,,0.9942684173583984,0.999153733253479,False,0.999725878238678,False,"[-2, 1, -1]",0.999962568283081,False,8.75089281159357,False,False,True,False,2 frames,D3 field above threshold but no peak kept (ridge into a neighbour)
44b6_1574802b,44b6,164000000020,25,63,97,247,102.375,8.470792770385742,0.48229551315307617,10.449652960185295,6074,5.894562111887347,-8.628405675292015,,,11.007567405700684,12.262788243517816,False,29.67572134759322,164000000021.0,True,0,0.25252525252525254,False,True,2,True,1,,,0.9961469173431396,0.9985583424568176,False,0.9987155199050903,False,"[-2, 1, -1]",0.9993544220924377,False,10.017172754824587,False,False,True,False,2 frames,D3 field above threshold but no peak kept (ridge into a neighbour)
44b6_1574802b,44b6,166000000020,27,63,100,236,102.375,10.56650447845459,0.587293267250061,9.349406187459914,6635,6.70574869742683,-6.514931347686797,,,8.16348934173584,10.28588579660661,False,28.230721436273996,166000000021.0,True,1,0.2727272727272727,True,True,1,True,1,,,0.9955494403839111,0.9982365369796753,False,0.9983096122741699,False,"[-2, 0, -2]",0.9995303153991699,False,9.334914300624297,False,False,True,False,1 frame,D3 field above threshold but no peak kept (ridge into a neighbour)
44b6_1574802b,44b6,168000000020,29,63,101,227,102.375,10.348983764648438,0.5518210530281067,8.476039840239338,7130,3.6212588079263033,-7.663532868027687,,,7.970072269439697,10.863928200994328,False,29.56707483100924,168000000021.0,True,1,0.29292929292929293,True,True,1,True,1,,,0.9983181953430176,0.999241828918457,False,0.9994064569473267,False,"[-2, -1, -1]",0.9996138215065002,False,8.900491559458949,False,False,True,False,1 frame,D3 field above threshold but no peak kept (ridge into a neighbour)
44b6_1574802b,44b6,175000000022,36,43,123,151,69.875,11.49384593963623,0.5401536226272583,9.05403428394792,8802,6.620783517216982,6.175820790231228,,,7.186827182769775,10.33755274875753,False,32.362600183313454,175000000021.0,True,1,0.36363636363636365,True,True,1,True,1,,,0.9936827421188354,0.9979230761528015,False,0.9986602067947388,False,"[2, 1, 2]",0.9991968274116516,False,9.334914300624297,False,False,True,False,1 frame,D3 field above threshold but no peak kept (ridge into a neighbour)
44b6_1574802b,44b6,177000000021,38,56,108,190,91.0,15.369251251220703,0.6806085109710693,8.920251573336833,9110,3.720184739049757,8.107472703559324,,,8.646162986755371,9.008041805632738,False,31.236372028454266,177000000022.0,True,2,0.3838383838383838,True,True,1,True,1,,,0.9995262622833252,0.9995535016059875,False,0.9997016787528992,False,"[2, -1, 1]",0.9997459053993225,False,9.475296829123613,False,False,True,False,1 frame,D3 field above threshold but no peak kept (ridge into a neighbour)
44b6_1574802b,44b6,181000000022,42,39,123,128,63.375,13.294336318969727,0.5586865544319153,9.162211166780716,9964,7.9766477653506,-4.507682763040066,,,8.055537223815918,10.462810172870926,False,34.28904024976494,181000000021.0,True,1,0.42424242424242425,True,True,1,True,1,,,0.997957706451416,0.9990648627281189,False,0.9990648627281189,False,"[1, 0, -1]",0.9998432397842407,False,8.75089281159357,False,False,True,False,1 frame,D3 field above threshold but no peak kept (ridge into a neighbour)
