name,emb,u,v,t,disp_um,outcome,is_div,both_detected,crowd_um,z_um,pu,pv,chosen,chosen_disp_um,rank,s_true,s_best,n_cand,s_chosen,chosen_gt,chosen_dz_um,true_dz_um,true_dxy_um,chosen_dxy_um,true_target_taken_by,taker_gt,snr_u,snr_v,taker_dist_um,taker_disp_um,taker_score,taker_dz_um,taker_gt_child_detected,src_dup_um,src_logit,taker_logit,chosen_logit,true_logit,chosen_true_um,true_dup_um,to_div,since_div,chosen_n_strong_sources,margin,mech,zjit
44b6_1574802b,44b6,166000000021,167000000021,27,3.494694639736067,wrong_link_parent,False,True,10.399037219038467,87.75,6546,6907,6807.0,1.6663418401991885,2,0.9783113598823547,0.9969233870506287,6,0.9969233870506287,,-1.6553592083510011,-3.8457352840341628,6.272482590924594,0.19100005163864564,,,15.088238716125488,13.988222122192383,,,,,,10.399037219038467,10.967605590820312,,9.008772850036621,7.803886413574219,6.754077875049029,6.754077875049029,,,1.0,0.018612027168273926,"L1a wrong partner chosen, near-tie (margin < 0.1)",True
44b6_1574802b,44b6,191000000021,192000000021,52,11.058659290913162,wrong_link_both,False,True,10.800804582598737,78.0,11774,11937,11949.0,8.54122060663335,2,0.9576146006584167,0.9862403273582458,3,0.9862403273582458,,4.805303318426013,-9.745412293821573,8.203059563262643,7.061268262083104,11769.0,,20.02151107788086,19.076576232910156,13.125647885495004,1.8291024917191376,0.9996614456176758,-11.043643524870276,,10.800804582598737,14.081477165222168,15.089399337768555,10.083003044128418,14.900647163391113,15.352727976596723,11.236629245699984,,,1.0,0.0286257266998291,"L1a wrong partner chosen, near-tie (margin < 0.1)",True
44b6_1574802b,44b6,169000000021,170000000021,30,3.8540258983302125,wrong_link_child,False,True,6.130491286811075,81.25,7435,7548,,,1,0.9907921552658081,0.9907921552658081,6,,,,-6.1636256985366344,3.744489763393927,,7324.0,,14.87655258178711,12.717777252197266,6.130491286811075,1.806775311222278,0.9966932535171509,-4.596788068767637,,6.130491286811075,7.391086101531982,8.405013084411621,,9.069668769836426,,11.208471794811896,,,,,L2 true target stolen by an unannotated competitor; cell left unlinked,True
44b6_1574802b,44b6,197000000021,198000000021,58,1.4647552056572457,wrong_link_parent,False,True,9.159556457908007,58.5,12754,12953,12913.0,6.672981775754976,2,0.9866277575492859,0.9893553853034973,7,0.9893553853034973,,-5.815639751031995,1.8669360796920955,1.7644206184364757,3.2721583191793373,,,20.409835815429688,19.96709632873535,,,,,,9.159556457908007,10.159936904907227,,9.204617500305176,7.761650085449219,8.155359649313223,8.155359649313223,,,1.0,0.0027276277542114258,"L1a wrong partner chosen, near-tie (margin < 0.1)",False
44b6_1574802b,44b6,190000000021,191000000021,51,5.202538442914189,wrong_link_child,False,True,9.521638676070541,79.625,11642,11774,,,1,0.8327431082725525,0.8327431082725525,4,,,,-2.3838728573173285,6.988199154208968,,11605.0,,17.61606788635254,20.02151107788086,9.521638676070541,6.432618324270923,0.9928272366523743,3.0743935611099005,,9.521638676070541,8.312503814697266,10.685258865356445,,14.081477165222168,,10.800804582598737,,,,,L2 true target stolen by an unannotated competitor; cell left unlinked,False
44b6_1574802b,44b6,160000000021,161000000021,21,2.0714766773970688,wrong_link_both,False,True,6.617681107898831,92.625,5196,5371,5533.0,9.164802218251058,1,0.9624433517456055,0.9624433517456055,7,0.6252101063728333,,-9.055392876267433,4.547428112477064,5.235550439862181,1.4118992726482131,5137.0,,10.333921432495117,13.916234016418457,9.532126545864097,2.816545375890357,0.9976868629455566,5.97566638700664,,6.617681107898831,8.413256645202637,10.205018997192383,7.404427528381348,12.560042381286621,15.136847785299015,9.177184448289395,,,2.0,-0.3372332453727722,L1c wrong partner: true partner ranked first but taken (greedy),True
44b6_706092f0,44b6,465000000010,466000000010,68,0.0,wrong_link_both,False,True,6.503192412105622,50.375,42426,43041,43371.0,7.44536001569257,1,0.9952645301818848,0.9952645301818848,5,0.7261526584625244,,2.6565229073166847,-0.1516417507082224,4.41219732500466,6.955305299278772,42464.0,,1.2791575193405151,1.400418996810913,6.503192412105622,2.1021333157498883,0.9968008995056152,-0.28609164990484715,,6.503192412105622,8.830728530883789,8.36436939239502,7.081600666046143,9.205428123474121,9.524112403946832,9.524112403946832,,,1.0,-0.26911187171936035,L1c wrong partner: true partner ranked first but taken (greedy),False
44b6_706092f0,44b6,418000000013,419000000013,21,1.625,wrong_link_child,False,True,8.966137849930092,52.0,13143,13727,,,3,0.4833900034427643,0.9935343265533447,8,,,,0.09737071266863495,9.297194378528085,,13107.0,,1.3522355556488037,1.3232042789459229,9.36763478605982,0.3222502434220251,0.9980338215827942,0.3133709985995665,,8.966137849930092,8.551279067993164,9.698569297790527,,9.89352798461914,,7.358125600467513,,,,,L2 true target stolen by an unannotated competitor; cell left unlinked,False
44b6_706092f0,44b6,438000000014,439000000015,41,0.40625,wrong_link_both,False,True,7.069738719209413,50.375,25588,26261,26222.0,1.3167164921518646,3,0.4639268219470978,0.998166561126709,7,0.998166561126709,,0.24816826358437538,-3.324643353931606,8.770046022801404,1.2931182597327389,25646.0,,1.3062604665756226,1.285144567489624,9.340408792298378,0.6535950034465446,0.9966296553611755,-3.611266993917525,,7.069738719209413,9.674575805664062,8.351472854614258,9.383966445922852,8.415384292602539,8.743939455408082,8.743939455408082,8.0,,3.0,0.5342397391796112,"L1b wrong partner chosen, confident (margin > 0.5)",True
44b6_706092f0,44b6,417000000013,418000000013,20,0.5745242597140698,wrong_link_parent,False,True,9.060727207488876,52.0,12478,13143,13107.0,0.18734708235115996,3,0.5712587237358093,0.9979358911514282,8,0.9979358911514282,,-0.060263797640800476,-0.373634796240367,9.22278316552162,0.17738997705451387,,,1.4593536853790283,1.3522355556488037,,,,,,9.060727207488876,9.74277400970459,,9.698569297790527,8.551279067993164,9.36763478605982,8.966137849930092,,,2.0,0.4266771674156189,"L1b wrong partner chosen, intermediate margin",False
44b6_706092f0,44b6,435000000014,436000000014,38,0.9084026158592896,wrong_link_both,False,True,9.328048576345388,50.375,23806,24317,24467.0,0.6413949472366095,2,0.8057354688644409,0.996936559677124,6,0.996936559677124,,0.05212129233404994,3.0425721760839224,7.790843765732089,0.6392736888266883,23694.0,,1.392877221107483,1.5082474946975708,9.328048576345388,1.0822023575655544,0.9976724982261658,2.9068252090364695,,9.328048576345388,7.958230972290039,9.00472354888916,7.8536834716796875,9.321125030517578,8.710294283039671,8.710294283039671,,,1.0,0.1912010908126831,"L1b wrong partner chosen, intermediate margin",True
